R-HSA-425381	10
R-HSA-5657655	1
R-HSA-73943	2
R-HSA-442717	4
R-HSA-1483248	3
R-HSA-211981	22
R-HSA-201722	57
R-HSA-170984	7
R-HSA-8850843	8
R-HSA-2404192	4
R-HSA-5602566	2
R-HSA-72203	37
R-HSA-72200	8
R-HSA-418990	30
R-HSA-1257604	73
R-HSA-2161541	5
R-HSA-5339700	3
R-HSA-5689896	36
R-HSA-429958	16
R-HSA-936837	55
R-HSA-159418	16
R-HSA-1474151	10
R-HSA-166208	22
R-HSA-195399	8
R-HSA-433692	6
R-HSA-141334	1
R-HSA-141333	2
R-HSA-5658442	68
R-HSA-375281	13
R-HSA-375280	8
R-HSA-3232118	16
R-HSA-75876	26
R-HSA-201451	23
R-HSA-159740	10
R-HSA-5099900	15
R-HSA-5686938	19
R-HSA-190840	19
R-HSA-5688849	8
R-HSA-5083630	4
R-HSA-5083632	18
R-HSA-5083633	1
R-HSA-5083635	37
R-HSA-5083636	18
R-HSA-6807062	4
R-HSA-196299	17
R-HSA-3656243	7
R-HSA-8866906	4
R-HSA-8866907	12
R-HSA-8866904	10
R-HSA-3656244	7
R-HSA-391160	14
R-HSA-8857538	6
R-HSA-879415	13
R-HSA-1632852	67
R-HSA-211227	13
R-HSA-2871837	141
R-HSA-381426	21
R-HSA-1296067	3
R-HSA-1296061	4
R-HSA-171286	1
R-HSA-5357609	2
R-HSA-421837	7
R-HSA-426048	5
R-HSA-168142	1
R-HSA-69601	53
R-HSA-2243919	11
R-HSA-561048	5
R-HSA-1855167	10
R-HSA-912526	26
R-HSA-2428933	7
R-HSA-70153	16
R-HSA-209905	4
R-HSA-445355	33
R-HSA-8848584	4
R-HSA-181430	17
R-HSA-5620916	21
R-HSA-2142712	6
R-HSA-389661	23
R-HSA-381753	432
R-HSA-5250968	4
R-HSA-5603027	8
R-HSA-5603029	7
R-HSA-1614635	9
R-HSA-164843	7
R-HSA-168325	40
R-HSA-2408508	8
R-HSA-392851	20
R-HSA-450408	54
R-HSA-140180	1
R-HSA-392451	47
R-HSA-5654699	17
R-HSA-5654695	18
R-HSA-5654693	17
R-HSA-8876198	89
R-HSA-8851907	5
R-HSA-1614558	4
R-HSA-193368	23
R-HSA-975155	8
R-HSA-1482922	17
R-HSA-425393	8
R-HSA-425397	3
R-HSA-373753	21
R-HSA-373752	19
R-HSA-5654732	17
R-HSA-73933	1
R-HSA-73930	2
R-HSA-111933	5
